NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER,Lat,Long
ANCAROWS LANDING,0,0,0,0,0,7,3,0,25,37.519,-77.4208
BEAUFONT,0,0,0,8,4,1,7,4,58,37.5108,-77.5118
BELLE AND MAYO ISLANDS,0,2,1,1,0,8,7,2,48,37.5306,-77.4516
BELLEMEADE,0,2,6,92,33,36,89,25,351,37.499,-77.4386
BELLEVUE,0,1,0,5,3,0,63,4,59,37.5908,-77.4576
BELMONT WOODS,0,0,1,2,2,0,2,1,6,37.4673,-77.4974
BELT CENTER,0,2,2,31,14,23,170,26,290,37.5048,-77.4802
BIOTECH AND MCV DISTRICT,0,0,0,7,0,6,27,1,63,37.5435,-77.4308
BLACKWELL,0,4,7,76,14,53,104,21,352,37.5166,-77.4429
BRAUERS,0,0,3,19,1,11,27,13,86,37.5468,-77.4135
BRITISH CAMP FARMS,1,0,10,30,12,11,46,6,129,37.4753,-77.4745
BROAD ROCK,3,2,6,59,27,49,75,20,262,37.505,-77.4637
BROAD ROCK INDUSTRIAL PARK,0,0,0,5,4,1,10,0,28,NA,NA
BROAD ROCK SPORTS COMPLEX,0,0,0,4,0,2,2,0,9,37.4849,-77.4838
BROOKBURY,0,1,0,2,0,0,2,2,17,37.464,-77.4917
BROOKHAVEN FARMS,0,1,3,11,9,1,10,3,28,37.4767,-77.5118
BROOKLAND PARK,1,1,3,27,6,22,35,10,140,37.5757,-77.4315
BRYAN PARK,0,0,0,1,1,1,3,0,13,37.5964,-77.4726
BYRD PARK,0,1,2,8,9,4,15,2,58,37.5447,-77.4731
CAPITOL DISTRICT,0,0,2,11,0,6,19,2,160,37.5379,-77.4331
CARILLON,0,0,1,6,0,0,8,1,41,37.5396,-77.486
CARVER,0,2,6,34,8,14,121,10,275,37.5539,-77.4487
CARYTOWN,0,1,7,24,10,7,106,2,197,37.5531,-77.4838
CEDARHURST,1,1,1,33,11,3,48,24,104,37.523,-77.5032
CENTRAL OFFICE,0,1,1,10,0,1,21,4,89,37.5364,-77.4379
CHAMBERLAYNE INDUSTRIAL CENTER,0,0,5,32,4,28,83,10,199,37.5594,-77.4425
CHERRY GARDENS,0,0,0,2,1,1,5,0,12,37.4822,-77.4594
CHIMBORAZO,0,2,1,11,6,6,34,8,60,37.5283,-77.4056
CHIPPENHAM FOREST,0,4,3,54,5,18,117,14,145,37.532,-77.5376
CHURCH HILL,0,1,6,16,10,7,68,22,148,37.5328,-77.4163
CHURCH HILL NORTH,0,1,5,61,9,25,80,21,278,37.5365,-77.4085
CITY CENTER,0,2,5,58,4,11,132,10,257,37.4316,-78.6569
COFER,0,1,1,17,10,2,21,5,62,37.4971,-77.4573
COLONIAL PLACE,0,0,0,3,3,0,23,4,33,37.5667,-77.4946
COMMERCE ROAD INDUSTRIAL AREA,0,0,2,9,1,10,31,12,70,37.467,-77.4282
COTTRELL FARMS,0,0,0,12,6,3,16,4,51,77.4788,-77.4788
COUNTRY CLUB OF VIRGINIA,0,0,0,1,0,0,4,0,5,37.5727,-77.6138
CREIGHTON,2,3,11,74,19,23,39,15,226,37.5451,-77.3978
CULLENWOOD,0,0,0,5,2,0,3,1,15,37.4802,-77.4523
DAVEE GARDENS,0,0,2,9,3,3,2,3,39,37.4783,-77.4351
DEERBOURNE,0,1,1,8,5,1,12,7,29,37.4767,-77.463
EASTVIEW,0,0,6,17,3,11,33,8,95,37.5499,-77.4114
EDGEWOOD,0,0,1,5,7,8,9,3,60,37.0732,-76.5102
ELKHARDT,0,3,1,24,4,6,30,4,99,37.4819,-77.5118
FAIRFIELD,2,3,5,80,14,30,28,9,216,37.8793,-79.2895
FAIRMOUNT,2,0,6,44,5,39,92,17,245,39.4851,-80.1426
FAWNBROOK,0,0,0,4,2,1,3,2,20,37.4751,-77.5064
FOREST HILL,0,2,0,9,1,1,37,3,64,37.5255,-77.4774
FOREST HILL PARK,0,0,0,2,0,1,1,0,8,37.2815,-76.6886
FOREST HILL TERRACE,0,0,6,4,4,3,30,8,57,37.5183,-77.4831
FOREST VIEW,0,0,4,18,3,1,35,1,51,37.5192,-77.4917
FULTON,1,2,10,101,39,22,127,32,405,37.5157,-77.3985
GAMBLES HILL,0,1,0,3,0,2,21,3,38,37.5379,-77.4458
GILPIN,1,6,5,163,9,117,52,11,538,37.5524,-77.4343
GINTER PARK,1,3,7,71,23,48,101,8,351,37.5836,-77.4444
GINTER PARK TERRACE,0,0,0,4,1,5,3,1,28,37.5734,-77.4408
GRAVEL HILL,0,0,0,10,1,5,49,3,65,37.5365,-77.5147
GREEN PARK,0,0,2,11,0,17,17,3,61,37.5689,-77.4236
HICKORY HILL,1,0,2,23,7,11,20,7,99,37.2293,-76.5247
HIGHLAND PARK SOUTHERN TIP,1,1,6,38,17,52,91,21,198,37.5616,-77.4229
HIGHLAND TERRACE,0,0,4,19,5,25,22,8,132,37.5721,-77.4229
HILLSIDE COURT,2,1,1,73,12,18,24,6,245,37.5018,-77.4336
HIOAKS,1,4,4,39,4,9,46,14,192,37.5407,-77.436
HOLLYWOOD CEMETERY,0,0,0,0,0,1,4,1,16,37.54,-77.453
HUGUENOT,0,0,0,9,1,1,15,1,35,37.5682,-77.7117
JACKSON WARD,0,1,5,42,25,35,161,18,372,37.5477,-77.4401
JAHNKE,1,3,9,57,7,17,97,29,234,37.5182,-77.5189
JEFF DAVIS,2,9,17,111,44,43,182,20,584,37.4787,-77.4444
JOHN MARSHALL,0,3,2,35,5,15,15,3,106,37.5956,-77.4458
LABURNUM PARK,0,1,0,1,1,1,6,1,12,37.5811,-77.4573
MAGNOLIA INDUSTRIAL CENTER,0,0,0,2,0,2,0,1,29,37.5614,-77.415
MALVERN GARDENS,0,0,0,0,1,0,16,6,26,37.5687,-77.4888
MANCHESTER,0,1,3,20,6,6,80,13,130,37.521,-77.4441
MARY MUNFORD,0,0,0,3,1,0,8,3,28,37.565,-77.5032
MAURY,1,0,1,4,3,8,16,5,42,37.5003,-77.4501
MAYMONT,0,0,0,18,3,5,16,2,39,37.5366,-77.4781
MAYMONT PARK,0,0,0,0,0,0,4,0,8,NA,NA
MCGUIRE,2,4,16,52,19,24,82,16,273,37.4914,-77.4774
MCGUIRE VETERANS HOSPITAL,0,0,0,9,3,0,9,4,28,37.4976,-77.6681
MIDLOTHIAN,1,3,14,88,26,98,178,33,716,37.5061,-77.649
MONROE WARD,0,10,3,58,4,46,142,11,472,37.5431,-77.4458
MONUMENT AVENUE PARK,0,0,3,3,2,0,20,3,65,37.5772,-77.4946
MOSBY,5,3,8,123,8,49,38,13,332,37.5463,-77.4207
MUSEUMS,0,0,0,21,0,1,21,1,69,NA,NA
NEWTOWNE WEST,0,1,0,17,2,5,27,2,56,37.5575,-77.4573
NORTH HIGHLAND PARK,2,4,2,51,14,33,57,18,207,37.5741,-77.4171
NORTHERN BARTON HEIGHTS,1,3,3,75,16,45,98,21,292,37.560278,-77.4325
NORTHROP,1,2,6,65,11,4,46,11,129,NA,NA
OAK GROVE,2,3,7,59,9,59,68,17,270,38.1818,76.9969
OAKWOOD,1,1,1,20,6,9,33,10,65,37.5329,-77.3999
OAKWOOD CEMETERY,0,2,1,0,0,3,3,1,11,37.538,-77.397
OLD TOWN MANCHESTER,0,2,3,42,8,10,125,25,270,37.5233,-77.436
OREGON HILL,0,0,2,9,4,6,30,1,66,37.5377,-77.4508
OXFORD,0,0,0,5,0,1,20,2,59,37.5393,-77.5478
PARNELL INDUSTRIAL AREA,0,0,0,2,1,2,6,1,14,37.4688,-77.4501
PETER PAUL,1,2,3,29,8,6,26,10,275,37.5449,-77.4078
PINE CAMP,0,0,0,1,0,0,5,0,1,37.5988,77.4451
PINEY KNOLLS,2,1,7,57,18,18,51,8,199,37.4789,-77.496
POCOSHOCK,0,0,1,5,1,1,3,2,19,37.4866,-77.506
POWHITE PARK,0,0,0,0,0,0,2,4,8,37.5234,-77.5254
PROVIDENCE PARK,1,2,4,21,8,11,23,11,104,37.5777,-77.4257
RANDOLPH,0,1,4,46,8,5,47,15,197,37.5426,-77.4659
REEDY CREEK,1,0,3,28,6,7,35,8,76,37.5137,-77.4709
ROSEDALE,0,0,0,0,0,3,15,5,60,37.5846,-77.4659
SAUER'S GARDENS,0,0,1,23,5,8,27,16,76,37.5737,-77.486
SCOTT'S ADDITION,0,0,1,14,3,4,67,7,164,37.5696,-77.472
SHERWOOD PARK,0,1,0,3,1,4,8,3,33,37.5755,-77.4544
SHOCKOE BOTTOM,2,7,7,66,4,13,211,32,425,37.5338,-77.4268
SHOCKOE SLIP,0,2,2,33,2,5,43,8,156,37.5344,-77.4322
SOUTH GARDEN,1,3,7,38,15,14,58,13,142,37.485,-77.4917
SOUTHAMPTON,0,0,0,3,0,0,6,1,22,37.5554,-77.5492
SOUTHERN BARTON HEIGHTS,0,1,1,17,9,6,29,6,75,37.560278,-77.4325
SOUTHWOOD,0,3,16,78,28,14,60,34,272,37.492,-77.4831
STADIUM,0,0,0,6,1,0,4,0,9,37.5504,-77.4888
STONEWALL COURT,0,0,0,0,0,0,5,1,3,37.5709,-77.5089
STONY POINT,0,0,0,4,2,1,15,2,47,37.549291,-77.564808
STRATFORD HILLS,1,0,0,3,6,6,36,2,65,37.5509,-77.5304
SWANSBORO,3,3,17,56,22,47,163,15,362,37.5166,-77.4559
SWANSBORO WEST,1,0,9,56,27,28,88,13,281,37.5065,-77.4716
SWANSON,0,0,5,12,8,8,51,8,112,NA,NA
THE DIAMOND,0,1,3,24,1,19,46,9,175,37.5718,-77.4635
THE FAN,3,14,20,125,64,28,422,59,813,37.5513,-77.4588
THE MUSEUM DISTRICT,0,6,2,32,13,3,119,20,288,37.5617,-77.4809
THREE CHOPT,0,0,1,7,3,1,13,1,72,37.5776,-77.5264
UNION HILL,2,1,10,56,11,37,88,15,231,37.5377,-77.42
UPPER SHOCKOE VALLEY,0,2,0,26,3,12,36,7,215,37.5436,-77.4257
VCU,0,0,2,23,3,4,41,2,133,37.5483,-77.4527
VIRGINIA UNION,0,1,6,30,9,74,62,7,250,37.5685,-77.4501
WALMSLEY,0,1,5,46,18,8,43,5,131,37.4659,-77.4602
WARWICK,0,1,0,10,2,2,4,3,42,37.459,-77.4228
WASHINGTON PARK,0,0,3,24,1,10,16,2,76,37.5897,-77.4401
WESTHAMPTON,0,0,0,6,2,0,11,2,45,37.5741,-77.5146
WESTLAKE HILLS,0,0,0,6,0,2,19,4,36,37.5295,-77.5146
WESTOVER HILLS,1,0,4,55,17,15,83,21,175,37.5297,-77.4917
WHITCOMB,3,0,8,142,15,55,72,27,401,37.553008,-77.417968
WILLOW LAWN,0,0,0,3,0,0,13,3,19,37.5723,-77.4974
WILLOW OAKS,0,0,0,0,3,0,4,2,7,37.5379,-77.5075
WILTON,1,0,0,0,3,0,3,2,12,37.5601,-77.5189
WINDSOR,0,0,2,8,4,0,22,2,46,37.5501,-77.4989
WOODHAVEN,0,2,2,18,9,2,26,5,68,37.4979,-77.4888
WOODLAND HEIGHTS,0,1,3,23,13,7,83,11,141,37.5213,-77.463
WOODVILLE,0,0,3,15,4,26,13,6,96,37.5431,-77.4035
WORTHINGTON,0,0,0,13,3,2,8,3,56,37.4913,-77.5132
