NEIGHBORHOOD_NAME,HOMICIDE,SEX_OFFENSE,ROBBERY,ASSAULT,BURGLARY,VICE,THEFT,VEH_THEFT,OTHER
ANCAROWS LANDING,0,0,0,1,0,4,3,1,17
BEAUFONT,0,1,3,11,8,3,7,3,42
BELLE AND MAYO ISLANDS,0,0,0,4,1,8,11,0,63
BELLEMEADE,0,2,4,96,32,34,102,22,331
BELLEVUE,0,0,1,7,19,3,41,3,76
BELMONT WOODS,0,0,0,3,0,1,4,0,18
BELT CENTER,1,2,5,34,15,17,135,4,235
BIOTECH AND MCV DISTRICT,0,0,0,10,0,10,17,1,152
BLACKWELL,0,3,9,77,7,47,56,15,270
BRAUERS,1,0,4,10,5,11,12,7,54
BRITISH CAMP FARMS,0,2,10,36,16,6,64,3,130
BROAD ROCK,0,2,7,63,22,28,53,18,192
BROAD ROCK INDUSTRIAL PARK,0,0,1,2,0,4,6,0,35
BROAD ROCK SPORTS COMPLEX,0,0,1,3,1,0,2,0,3
BROOKBURY,0,1,0,3,3,0,7,0,18
BROOKHAVEN FARMS,0,0,1,11,2,1,10,1,41
BROOKLAND PARK,0,3,9,70,16,29,52,8,154
BRYAN PARK,0,0,0,0,0,0,2,0,8
BYRD PARK,0,0,0,11,6,4,27,5,61
CAPITOL DISTRICT,0,0,3,23,5,7,27,2,134
CARILLON,0,0,0,2,6,2,14,3,38
CARVER,0,3,6,44,13,32,196,4,333
CARYTOWN,0,4,4,26,7,3,85,1,184
CEDARHURST,0,1,3,34,6,11,21,4,88
CENTRAL OFFICE,0,0,2,17,5,5,27,5,108
CHAMBERLAYNE INDUSTRIAL CENTER,0,1,4,49,9,16,76,8,169
CHERRY GARDENS,0,0,0,0,0,1,4,0,6
CHIMBORAZO,1,0,2,21,7,4,36,4,78
CHIPPENHAM FOREST,0,2,1,36,7,4,172,5,136
CHURCH HILL,0,1,4,27,18,9,59,8,146
CHURCH HILL NORTH,0,2,5,71,18,16,85,9,258
CITY CENTER,0,4,4,49,7,29,118,7,224
COFER,1,1,2,17,10,13,21,8,78
COLONIAL PLACE,1,1,0,2,5,0,24,3,39
COMMERCE ROAD INDUSTRIAL AREA,0,1,1,7,4,7,31,2,41
COTTRELL FARMS,0,0,1,13,4,0,13,4,37
COUNTRY CLUB OF VIRGINIA,0,0,0,0,0,0,3,0,3
CREIGHTON,1,1,3,98,19,43,18,13,201
CULLENWOOD,0,1,0,10,3,0,1,1,20
DAVEE GARDENS,1,0,2,13,7,3,4,2,44
DEERBOURNE,0,0,0,16,13,0,11,3,52
EASTVIEW,1,0,2,13,8,8,11,2,55
EDGEWOOD,0,1,2,11,8,23,7,1,60
ELKHARDT,0,1,8,32,6,9,33,1,113
FAIRFIELD,0,4,4,89,17,26,26,4,196
FAIRMOUNT,0,2,2,55,20,43,43,6,157
FAWNBROOK,0,1,0,3,1,0,7,1,23
FOREST HILL,0,0,0,9,1,3,28,3,49
FOREST HILL PARK,0,0,0,0,0,0,1,0,0
FOREST HILL TERRACE,0,1,3,4,6,3,32,8,54
FOREST VIEW,0,2,4,4,1,4,13,2,49
FULTON,1,4,9,108,39,36,93,16,331
GAMBLES HILL,0,0,0,1,0,1,14,1,15
GILPIN,1,8,12,178,47,92,61,16,537
GINTER PARK,1,1,14,140,38,114,132,18,419
GINTER PARK TERRACE,0,0,1,5,1,4,10,1,29
GRAVEL HILL,0,0,3,6,3,4,45,1,77
GREEN PARK,1,0,2,12,14,5,14,5,47
HICKORY HILL,0,1,3,29,15,8,12,7,103
HIGHLAND PARK SOUTHERN TIP,2,1,10,75,27,27,71,19,220
HIGHLAND TERRACE,1,0,7,26,26,15,17,4,84
HILLSIDE COURT,2,2,2,67,10,33,28,8,202
HIOAKS,1,4,1,49,9,11,42,7,142
HOLLYWOOD CEMETERY,0,0,0,4,3,0,6,1,9
HUGUENOT,0,2,1,7,1,0,17,2,62
JACKSON WARD,0,1,12,46,30,38,159,21,308
JAHNKE,2,4,15,57,15,13,72,8,187
JEFF DAVIS,1,5,19,138,61,126,169,33,547
JOHN MARSHALL,0,0,7,47,10,42,35,6,124
LABURNUM PARK,0,0,0,1,1,1,9,2,13
MAGNOLIA INDUSTRIAL CENTER,0,0,0,0,0,3,8,0,21
MALVERN GARDENS,0,1,1,3,6,0,17,1,28
MANCHESTER,0,5,6,27,10,10,59,10,118
MARY MUNFORD,0,1,0,1,4,0,6,1,24
MAURY,1,0,0,5,6,28,14,3,77
MAYMONT,1,0,0,3,4,5,17,2,29
MAYMONT PARK,0,0,0,0,0,1,12,0,9
MCGUIRE,0,2,1,33,22,9,47,5,134
MCGUIRE MANOR,0,0,13,33,10,8,18,5,124
MCGUIRE VETERANS HOSPITAL,0,0,0,4,1,8,8,3,40
MIDLOTHIAN,3,6,16,123,22,80,125,28,472
MONROE WARD,0,7,6,59,15,28,171,10,394
MONUMENT AVENUE PARK,0,0,2,7,4,0,17,2,63
MOSBY,5,2,6,97,6,37,38,5,268
MUSEUMS,0,1,0,20,3,8,41,2,110
NEWTOWNE WEST,0,0,0,8,4,7,22,2,79
NORTH HIGHLAND PARK,0,3,10,80,45,36,64,19,221
NORTHERN BARTON HEIGHTS,0,1,16,86,22,42,136,25,292
NORTHROP,0,1,4,74,9,13,65,14,140
OAK GROVE,0,2,4,57,11,40,39,13,193
OAKWOOD,0,1,3,34,14,5,25,6,66
OAKWOOD CEMETERY,0,0,0,1,0,0,0,0,9
OLD TOWN MANCHESTER,0,3,0,29,8,22,42,10,137
OREGON HILL,0,2,0,15,9,6,23,7,97
OXFORD,0,1,3,22,0,1,17,0,68
PARNELL INDUSTRIAL AREA,0,0,0,0,7,1,3,3,10
PETER PAUL,0,1,1,23,7,7,11,1,59
PINE CAMP,0,0,0,1,0,3,4,0,5
PINEY KNOLLS,0,2,5,69,36,25,62,15,207
POCOSHOCK,0,1,1,6,8,0,6,0,17
POWHITE PARK,0,0,0,0,0,1,1,0,2
PROVIDENCE PARK,2,0,10,38,37,18,40,10,134
RANDOLPH,0,2,5,29,36,11,73,18,183
REEDY CREEK,1,2,0,20,13,7,28,8,52
ROSEDALE,0,0,0,7,4,3,13,2,53
SAUER'S GARDENS,0,1,3,16,9,4,19,6,84
SCOTT'S ADDITION,0,2,3,15,8,12,61,6,132
SHERWOOD PARK,0,0,1,2,2,9,5,3,27
SHOCKOE BOTTOM,0,4,8,46,9,19,127,7,312
SHOCKOE SLIP,0,3,4,55,2,7,32,2,225
SOUTH GARDEN,1,1,3,43,13,14,59,5,165
SOUTHAMPTON,0,0,0,2,1,0,10,0,14
SOUTHERN BARTON HEIGHTS,0,1,2,27,16,8,25,6,92
SOUTHWOOD,1,4,31,86,8,19,45,20,242
STADIUM,0,0,0,3,0,1,5,0,11
STONEWALL COURT,0,0,0,0,2,0,13,0,12
STONY POINT,0,0,0,3,2,1,25,0,23
STRATFORD HILLS,0,2,3,11,11,0,22,1,65
SWANSBORO,0,0,5,53,21,63,92,20,294
SWANSBORO WEST,0,3,4,95,47,26,65,16,249
SWANSON,0,1,6,35,6,7,42,5,131
THE DIAMOND,0,1,0,17,3,12,38,4,144
THE FAN,0,4,18,109,74,43,557,33,816
THE MUSEUM DISTRICT,0,1,3,52,19,7,137,9,273
THREE CHOPT,0,0,2,7,9,2,23,3,64
UNION HILL,0,1,5,44,12,25,51,7,176
UNIVERSITY OF RICHMOND,0,0,0,0,0,0,0,0,2
UPPER SHOCKOE VALLEY,0,0,1,10,1,16,19,6,143
VCU,0,0,2,15,1,11,52,6,151
VIRGINIA UNION,0,0,6,25,11,35,46,8,153
WALMSLEY,1,2,4,40,29,3,40,6,106
WARWICK,0,0,0,8,10,1,12,2,38
WASHINGTON PARK,0,2,2,39,5,29,28,7,119
WESTHAMPTON,0,0,1,3,4,0,16,1,45
WESTLAKE HILLS,0,1,0,6,2,1,7,4,34
WESTOVER,0,1,1,47,16,9,28,7,124
WESTOVER HILLS,0,1,2,2,4,2,32,3,31
WESTOVER HILLS WEST,0,0,0,3,2,0,2,0,8
WHITCOMB,1,2,7,129,20,51,47,10,317
WILLOW LAWN,0,0,0,0,3,0,11,1,20
WILLOW OAKS,0,0,0,1,4,0,4,0,15
WILTON,0,0,0,0,3,0,15,1,8
WINDSOR,0,0,7,13,2,10,10,6,40
WINDSOR FARMS,0,0,0,1,3,0,8,0,9
WOODHAVEN,0,2,1,9,9,7,31,1,80
WOODLAND HEIGHTS,0,0,7,30,17,7,99,22,142
WOODVILLE,0,0,4,5,3,11,9,1,71
WORTHINGTON,0,1,1,11,9,1,14,3,35
